key,enabled,identity,password,username
user-account-spokesperson-13,true,"UserIdentity{name: 'William', surname: 'Spokesperson', email: 'spokesperson13@acme.com'}",spokesperson13,spokesperson13
user-account-spokesperson-14,true,"UserIdentity{name: 'Elizabeth', surname: 'Spokesperson', email: 'spokesperson14@acme.com'}",spokesperson14,spokesperson14
user-account-spokesperson-15,true,"UserIdentity{name: 'Richard', surname: 'Spokesperson', email: 'spokesperson15@acme.com'}",spokesperson15,spokesperson15
user-account-spokesperson-16,true,"UserIdentity{name: 'Susan', surname: 'Spokesperson', email: 'spokesperson16@acme.com'}",spokesperson16,spokesperson16
user-account-spokesperson-17,true,"UserIdentity{name: 'Joseph', surname: 'Spokesperson', email: 'spokesperson17@acme.com'}",spokesperson17,spokesperson17
user-account-spokesperson-18,true,"UserIdentity{name: 'Jessica', surname: 'Spokesperson', email: 'spokesperson18@acme.com'}",spokesperson18,spokesperson18
user-account-spokesperson-19,true,"UserIdentity{name: 'Charles', surname: 'Spokesperson', email: 'spokesperson19@acme.com'}",spokesperson19,spokesperson19
user-account-spokesperson-20,true,"UserIdentity{name: 'Sarah', surname: 'Spokesperson', email: 'spokesperson20@acme.com'}",spokesperson20,spokesperson20
user-account-spokesperson-21,true,"UserIdentity{name: 'Christopher', surname: 'Spokesperson', email: 'spokesperson21@acme.com'}",spokesperson21,spokesperson21
user-account-spokesperson-22,true,"UserIdentity{name: 'Karen', surname: 'Spokesperson', email: 'spokesperson22@acme.com'}",spokesperson22,spokesperson22
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: 'Acme', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: 'Acme', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor3', surname: 'Acme', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-sponsor-01,true,"UserIdentity{name: 'Lorem', surname: 'Ipsum', email: 'acme@lorem-ipsum.org'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'โลเร็ม อิปซัม', surname: 'لوريم إيبسوم', email: 'a@b.e'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'sponsor4', surname: 'ipsum', email: 'a@b.es'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.esx'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor9,sponsor9
user-account-sponsor-10,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor10,sponsor10
user-account-sponsor-11,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor11,sponsor11
user-account-sponsor-12,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor12,sponsor12
user-account-sponsor-13,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor13,sponsor13
user-account-sponsor-14,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor14,sponsor14
user-account-sponsor-15,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor15,sponsor15
user-account-sponsor-16,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor16,sponsor16
user-account-sponsor-17,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor17,sponsor17
user-account-sponsor-18,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor18,sponsor18
user-account-sponsor-19,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor19,sponsor19
user-account-sponsor-20,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor20,sponsor20
user-account-sponsor-21,true,"UserIdentity{name: '<marquee>Hacked</marquee>', surname: '<script>alert(‘Hacked!’);</script>', email: 'a@b.es'}",sponsor21,sponsor21
user-account-fundraiser-01,true,"UserIdentity{name: 'Sample', surname: 'One', email: 'sample1@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Sample', surname: 'Two', email: 'sample2@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Sample', surname: 'Three', email: 'sample3@acme.com'}",fundraiser3,fundraiser3
user-account-fundraiser-04,true,"UserIdentity{name: 'Sample', surname: 'Four', email: 'sample4@acme.com'}",fundraiser4,fundraiser4
user-account-fundraiser-05,true,"UserIdentity{name: 'Sample', surname: 'Five', email: 'sample5@acme.com'}",fundraiser5,fundraiser5
user-account-fundraiser-06,true,"UserIdentity{name: 'Sample', surname: 'Six', email: 'sample6@acme.com'}",fundraiser6,fundraiser6
user-account-fundraiser-07,true,"UserIdentity{name: 'Sample', surname: 'Seven', email: 'sample7@acme.com'}",fundraiser7,fundraiser7
user-account-fundraiser-08,true,"UserIdentity{name: 'Sample', surname: 'Eight', email: 'sample8@acme.com'}",fundraiser8,fundraiser8
user-account-fundraiser-09,true,"UserIdentity{name: 'Sample', surname: 'Nine', email: 'sample9@acme.com'}",fundraiser9,fundraiser9
user-account-fundraiser-10,true,"UserIdentity{name: 'Sample', surname: 'Ten', email: 'sample10@acme.com'}",fundraiser10,fundraiser10
user-account-inventor-01,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Nikola', surname: 'Tesla', email: 'nikola@inventor.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Marie', surname: 'Curie', email: 'marie@inventor.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Isaac', surname: 'Newton', email: 'isaac@inventor.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Galileo', surname: 'Galilei', email: 'galileo@inventor.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Ada', surname: 'Lovelace', email: 'ada@inventor.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Thomas', surname: 'Edison', email: 'thomas@inventor.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Alexander', surname: 'Graham Bell', email: 'alexander@inventor.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Wright', surname: 'Brothers', email: 'wright@inventor.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'James', surname: 'Watt', email: 'james@inventor.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Benjamin', surname: 'Franklin', email: 'benjamin@inventor.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Elon', surname: 'Musk', email: 'elon@inventor.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Hedy', surname: 'Lamarr', email: 'hedy@inventor.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor14,inventor14
user-account-inventor-15,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor15,inventor15
user-account-inventor-16,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor16,inventor16
user-account-inventor-17,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor17,inventor17
user-account-inventor-18,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor18,inventor18
user-account-inventor-19,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor19,inventor19
user-account-inventor-20,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor20,inventor20
user-account-inventor-21,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor21,inventor21
user-account-inventor-22,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor22,inventor22
user-account-inventor-23,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor23,inventor23
user-account-inventor-24,true,"UserIdentity{name: 'Leonardo', surname: 'DaVinci', email: 'leo@inventor.com'}",inventor24,inventor24

